v_1;v_2;v_3;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;target
-0.80102;0.88914;12.827;150.337;-0.21959;109.635;107.305;-109.817;-0.11607;11.177;-0.02531;-105.597;-72.868.439.618.013.900
-103.479;1.139;-0.91109;0.20389;0.8984;-0.58416;-0.15287;-0.23009;-0.27004;-186.767;0.86579;-108.708;-68.522.910.701.488.200
0.74493;-0.38728;-0.17359;-0.01033;-1.586;160.309;156.194;0.81367;0.10072;0.72163;-0.05951;-0.11323;-63.088.784.926.125.400
0.27047;-0.61791;-0.86112;-0.11618;-104.833;0.29217;0.56719;-145.476;105.021;162.509;113.877;-0.45499;-62.243.510.962.025.700
-0.25156;0.27083;110.499;-0.9675;0.75332;-269.036;-11.922;0.2468;-102.139;-104.105;174.882;-0.02026;-61.881.467.783.825.700
-0.54895;0.2307;0.96985;0.25025;-0.32582;147.102;-0.09004;-209.408;0.66496;0.05261;0.79256;128.882;-61.743.823.489.405.000
-0.36439;0.57137;-0.46473;-119.916;0.3908;-154.587;0.13315;-0.60146;-0.73265;0.2339;191.831;-0.95957;-61.676.483.416.378.600
-0.57419;-125.576;-0.13933;0.15785;-0.1609;11.282;-106.612;-0.28545;-0.60697;196.261;0.02383;176.217;-61.084.422.404.600.600
0.38425;-0.63171;-0.43405;0.8273;-171.254;0.86816;0.28474;-0.50554;-170.891;203.561;-0.32516;-201.545;-61.030.875.209.409.600
-190.261;-0.80572;-0.00047;-0.03136;143.422;172.438;0.46926;-0.55808;0.90838;103.134;0.93103;0.93586;-61.016.179.944.266.800
-0.98141;0.32385;-220.939;-0.22808;0.5485;-191.121;-0.65162;-238.897;-135.112;0.36219;0.5432;-0.46565;-60.243.048.086.928.100
0.31009;-0.40516;-0.77196;-0.52071;-0.59189;-0.59865;148.044;-106.938;141.765;0.15907;-0.94342;0.24404;-58.206.946.349.439.100
-0.99581;-0.56916;-216.313;-0.43643;0.74529;229.654;-0.12299;0.55613;-0.83009;0.88159;0.48833;-233.097;-57.900.018.427.426.800
-0.32116;-0.05167;-0.24312;0.07302;-0.35312;0.91208;0.03962;0.4878;0.51713;152.481;0.0912;0.34078;-57.306.770.586.974.100
-0.28998;0.91358;116.746;-107.478;0.48228;-168.122;-0.33192;-0.13531;0.09638;18.042;-0.56934;0.88849;-56.514.587.266.816.400
-110.628;0.69595;-0.43526;-0.11214;0.63639;0.40551;0.27305;-0.29961;-0.70925;117.364;0.8193;0.90913;-56.182.395.739.477.400
-0.0445;0.38737;-0.98527;-125.225;0.26465;-116.105;-0.37235;197.806;0.89734;0.68271;0.44434;0.27123;-54.328.487.205.452.000
0.40954;-209.696;126.613;-0.21649;-0.90764;-0.82605;-0.38812;-0.20928;-0.75136;-11.466;-0.52785;-0.92143;-54.176.826.863.925.400
-0.71774;116.462;138.562;-0.38979;0.3941;0.23394;-0.17145;0.87163;0.41988;-0.67545;0.99061;0.90881;-53.970.983.420.258.800
-0.09165;0.85134;-0.15396;-0.4155;-0.32203;0.47108;100.525;-0.94705;0.40148;-0.98803;122.244;0.2626;-53.045.082.444.048.300
0.63328;0.74017;-128.029;-1.104;-0.55533;-0.04662;-0.75413;-0.04668;0.05877;-157.311;-0.11569;-0.06915;-52.537.310.578.520.500
0.68882;-0.47204;109.294;-0.30103;-110.343;0.0186;-0.14199;0.83316;-0.29258;0.87405;-112.519;-136.796;-52.416.677.226.809.600
-0.07321;0.70338;0.88353;-103.918;0.16503;0.50737;0.625;-0.60947;108.956;169.558;0.59914;166.124;-51.761.882.169.201.300
0.11658;0.36996;0.88775;-0.35281;-0.40553;104.866;154.758;-103.992;177.088;0.94958;-0.91329;0.65768;-51.104.530.695.002.200
-0.01172;-0.2646;0.51335;-160.398;0.46669;-0.16032;0.11247;-145.408;0.91035;0.47215;107.108;0.31621;-50.433.321.226.678.600
-0.0051;143.789;-0.12072;-0.92244;0.17635;-0.62224;-0.74752;-118.948;0.14848;0.07354;-130.585;0.14534;-50.266.887.546.715.900
-0.4209;0.04642;-179.176;-0.39976;0.203;-0.44639;193.219;194.918;-0.17767;126.439;-0.13315;-0.82268;-49.549.322.195.095.300
-0.65643;0.79892;0.84878;0.15225;0.14536;-0.45512;0.72783;-0.15271;-151.804;162.719;-0.79404;0.45739;-48.977.203.738.754.000
-0.37534;-148.446;107.813;0.10072;-0.18576;-0.67528;0.60396;-116.901;-0.36753;-0.40726;-0.25679;0.34278;-48.877.295.774.155.500
-0.6021;-0.82242;-0.62157;0.10388;0.12858;0.30264;-119.434;-189.516;286.571;0.814;-0.8644;117.134;-48.536.558.572.306.800
-109.784;0.12393;-111.351;-0.2503;0.90997;0.74467;0.28925;0.24403;-0.89189;0.27528;-0.3293;-101.831;-48.265.271.513.896.400
-0.35649;164.949;201.848;-0.05542;-0.01224;-0.23166;1.22;-0.42107;-0.28522;-0.08459;-117.414;0.85474;-48.198.595.941.080.800
-0.01464;0.5481;-129.415;0.13261;-0.65102;332.487;182.037;-0.52693;149.046;-0.1628;0.30562;-0.00812;-47.027.089.153.973.000
0.40451;127.603;0.73718;-0.91935;-0.33173;274.795;-0.98957;0.13058;0.04474;-0.70203;-0.40522;-0.42652;-46.828.317.406.195.500
0.30481;0.01965;-153.929;-0.99971;-0.19369;-147.453;0.1203;-200.458;-0.97126;-0.53698;0.0568;0.4882;-46.445.314.457.461.200
0.35051;-114.569;-0.93686;0.60804;-142.485;-155.735;118.035;0.95229;-1.611;0.14829;0.61406;0.61836;-46.387.202.616.128.100
-0.69632;286.368;0.68104;0.47494;-0.12597;0.534;-0.80474;0.97362;0.34691;0.81666;0.70673;0.1844;-46.047.652.472.196.200
-0.36347;0.94231;-0.74556;0.62505;-0.55971;-0.81802;0.22279;121.982;-100.125;161.369;0.00889;0.09421;-46.020.216.012.041.300
-250.741;0.56976;0.39972;-171.797;-123.968;-0.92602;0.75492;-0.49238;0.73166;-159.926;101.859;107.924;-45.423.836.915.075.900
-0.60638;0.1976;0.66369;0.65193;-0.36672;-0.12439;-0.22657;-0.84984;0.67717;121.939;100.413;-162.528;-45.070.563.986.267.100
-107.073;0.45819;-0.70972;0.75571;0.20312;0.58821;0.59982;-103.286;145.604;0.59017;-0.256;19.464;-44.794.391.788.845.800
0.08864;0.99376;284.967;-178.451;0.57217;0.41692;16.727;0.56503;-0.3967;-0.46322;0.81193;-17.488;-44.415.023.552.859.200
-0.78864;0.01004;-0.82624;-152.675;134.129;0.15887;208.419;-147.922;0.49247;-0.11628;164.648;177.618;-43.759.639.736.337.900
-0.83654;165.185;-18.402;0.15545;0.25764;-0.66286;-0.47852;-0.61528;121.917;0.02983;10.803;-0.30346;-43.758.898.128.199.300
-291.827;0.42256;-0.99882;-127.015;-0.74197;121.609;0.08997;0.92901;-0.6338;0.08411;105.379;-0.35596;-42.471.937.595.908.700
-184.427;-0.39721;0.59887;191.866;0.46048;-0.52793;0.61947;205.995;0.59063;0.27756;-208.309;-192.935;-42.056.843.458.504.200
0.26151;-0.71621;-118.386;0.82968;-130.525;0.51187;0.34996;-0.9933;0.32911;124.929;-0.81109;-181.323;-41.597.328.863.769.900
-0.22287;-0.41815;0.13835;-0.03426;-0.22342;-0.2781;0.31155;-14.435;0.04821;-0.15426;0.30308;0.76314;-41.162.390.194.248.400
-233.921;-112.048;0.74435;-138.442;-110.516;-0.62095;-0.44284;0.76841;0.72568;-0.68206;152.764;0.19973;-40.199.477.603.623.900
